時間,月份,縣市,地區,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm),地區碼
2019/1/1,1,桃園市,桃農,15.9,14.9,87,1.7,0.5,338
2019/2/1,2,桃園市,桃農,14.4,13,75,1,0,338
2019/3/1,3,桃園市,桃農,19.5,16.3,80,0.6,0,338
2019/4/1,4,桃園市,桃農,15.8,14.3,82,1.7,4.5,338
2019/5/1,5,桃園市,桃農,20.3,18.4,91,0.4,65.5,338
2019/6/1,6,桃園市,桃農,27.4,25,78,0.4,0,338
2019/7/1,7,桃園市,桃農,30.4,27.1,69,0.6,0,338
2019/8/1,8,桃園市,桃農,31,27.3,62,0.3,0,338
2019/9/1,9,桃園市,桃農,29.8,26.2,66,0.3,1.7,338
2019/10/1,10,桃園市,桃農,27,22.9,73,0.8,17,338
2019/11/1,11,桃園市,桃農,23.9,21.9,74,1.4,0,338
2019/12/1,12,桃園市,桃農,20.4,17.1,77,0.2,0,338
