時間,月份,縣市,觀測站名,氣溫(℃),最低氣溫(℃),相對溼度(%),風速(m/s),降水量(mm),地區
2019/1/1,1,新北市,板橋,16.4,15.9,92,3.9,1.3,220
2019/2/1,2,新北市,板橋,14.9,13.8,73,3.3,0,220
2019/3/1,3,新北市,板橋,19.6,17.5,82,2.9,0,220
2019/4/1,4,新北市,板橋,16.4,15.4,81,3.7,6.5,220
2019/5/1,5,新北市,板橋,21.1,19.5,85,1.8,62,220
2019/6/1,6,新北市,板橋,27.2,25.7,79,1,7,220
2019/7/1,7,新北市,板橋,30.7,27.4,68,1.9,0,220
2019/8/1,8,新北市,板橋,31.1,27.1,62,1.8,0,220
2019/9/1,9,新北市,板橋,30.7,25.6,62,1.7,0,220
2019/10/1,10,新北市,板橋,27,23.5,76,3.8,17,220
2019/11/1,11,新北市,板橋,24.2,23.1,76,3.8,0,220
2019/12/1,12,新北市,板橋,20.5,16.4,79,1.2,0.5,220
